Rammus,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/7/7c/RammusSquare.png/revision/latest?cb=20170802103857,https://static.wikia.nocookie.net/leagueoflegends/images/d/d9/Rammus_Select.ogg/revision/latest?cb=20200711194416
Alistar,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/34/AlistarSquare.png/revision/latest/scale-to-width-down/120?cb=20170728172717,https://static.wikia.nocookie.net/leagueoflegends/images/4/4a/Alistar.joke.ogg/revision/latest?cb=20121127051655
Nasus,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/5/58/NasusSquare.png/revision/latest/scale-to-width-down/120?cb=20170802071450,https://static.wikia.nocookie.net/leagueoflegends/images/f/f0/Nasus.joke01.ogg/revision/latest?cb=20131031232404
Braum,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/b/b6/BraumSquare.png/revision/latest/scale-to-width-down/120?cb=20170728193017,https://static.wikia.nocookie.net/leagueoflegends/images/4/4a/Braum.W2.ogg/revision/latest?cb=20140423012651
Corki,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/3/3d/CorkiSquare.png/revision/latest/scale-to-width-down/120?cb=20170801184703,https://static.wikia.nocookie.net/leagueoflegends/images/4/48/Corki.joke.ogg/revision/latest?cb=20121126235203
Cassiopeia,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/c/ca/CassiopeiaSquare.png/revision/latest/scale-to-width-down/120?cb=20170801180228,https://static.wikia.nocookie.net/leagueoflegends/images/d/d1/Cassiopeia_Original_Move_1.ogg/revision/latest?cb=20200326165409
Darven,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/d/d7/DravenSquare.png/revision/latest/scale-to-width-down/120?cb=20170801201235,https://static.wikia.nocookie.net/leagueoflegends/images/2/23/Draven_Select.ogg/revision/latest?cb=20200709155337
Heimerdinger,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/5/55/HeimerdingerSquare_Unreleased.png/revision/latest/scale-to-width-down/120?cb=20170802001430,https://static.wikia.nocookie.net/leagueoflegends/images/b/b8/Heimerdinger.move19.ogg/revision/latest?cb=20140228032838
Jax,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/0/0f/JaxSquare.png/revision/latest/scale-to-width-down/120?cb=20170802015254,https://static.wikia.nocookie.net/leagueoflegends/images/4/4e/Jax_Original_Joke.ogg/revision/latest?cb=20200308201600
Kog'Maw,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/4/45/Kog%27MawSquare.png/revision/latest/scale-to-width-down/120?cb=20170802031916,https://static.wikia.nocookie.net/leagueoflegends/images/7/74/KogMaw.joke.ogg/revision/latest?cb=20121126170004
Veigar,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/8/8f/VeigarSquare.png/revision/latest/scale-to-width-down/120?cb=20170802170714,https://static.wikia.nocookie.net/leagueoflegends/images/b/b1/Veigar.attack7.ogg/revision/latest?cb=20121127013314
Tahm Kench,https://static.wikia.nocookie.net/lolesports_gamepedia_en/images/0/03/Tahm_KenchSquare.png/revision/latest/scale-to-width-down/120?cb=20170802145036,https://static.wikia.nocookie.net/leagueoflegends/images/8/85/TahmKench.move15.ogg/revision/latest?cb=20150624150944
